legacy_id,year,authors_short,title,venue,legacy_doi_or_identifier,preliminary_scope_status,new_survey_signal,verification_required,verification_notes,seed_classification_v1_0,adjacent_subtype,G_criterion_seed,S_criterion_seed,sparse_concept_lens,RQ_support_seed,classification_confidence,fulltext_verification_required,metadata_verification_required,decision_note,verification_source_url
KT062,2025,Sun et al.,LGS-KT: Integrating Logical and Grammatical Skills for Effective Programming Knowledge Tracing,Neural Networks,10.1016/j.neunet.2025.107164,SCREEN_FULL_TEXT,STRUCTURE_ADJACENT,YES,Verify whether logical/grammatical skill structure is explicit graph.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,"PRIMARY_CORE. The paper constructs a graph based on knowledge-concept similarity, satisfying the G-criterion.",https://doi.org/10.1016/j.neunet.2025.107164
KT063,2025,Yang et al.,MAHKT: Knowledge Tracing with Multi-Association Heterogeneous Graph Embedding Based on Knowledge Transfer,Knowledge-Based Systems,10.1016/j.knosys.2025.112958,POTENTIAL_CORE,GRAPH_KT,YES,Heterogeneous multi-association graph.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT064,2025,Wang et al.,Multi-Granularity Ensemble Interaction Graph Modeling for Knowledge Tracing,Knowledge-Based Systems,10.1016/j.knosys.2024.112834,POTENTIAL_CORE,GRAPH_KT,YES,Interaction-graph KT.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT065,2025,Wu et al.,Graph Knowledge Tracing in Cognitive Situation: Validation of Classic Assertions in Cognitive Psychology,Knowledge-Based Systems,10.1016/j.knosys.2025.113281,POTENTIAL_CORE,GRAPH_KT,YES,Graph-KT candidate.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT066,2025,Li et al.,Dual-Channel Adaptive Scale Hypergraph Encoders With Cross-View Contrastive Learning for Knowledge Tracing,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2024.3386810,POTENTIAL_CORE,GRAPH_SSL_KT,YES,Hypergraph + cross-view contrastive KT.,PRIMARY_CORE,,YES,YES,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ3,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion and satisfies the Self-Supervised KT criterion; full-text coding is still required before final corpus freeze.,
KT067,2025,Yang et al.,Graph-Based Effective Knowledge Tracing via Subject Knowledge Mapping,Education and Information Technologies,10.1007/s10639-024-13069-0,POTENTIAL_CORE,GRAPH_KT,YES,Expert/curriculum graph candidate.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT068,2025,Li et al.,HKT: Hierarchical Structure-Based Knowledge Tracing,Information Processing & Management,10.1016/j.ipm.2025.104206,POTENTIAL_CORE,GRAPH_KT,YES,Hierarchical structure-based KT.,PRIMARY_CORE,,YES,YES,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ3,RQ5",MEDIUM,YES,YES,"PRIMARY_CORE. Available abstract/search evidence indicates hierarchical/cross-graph modeling and contrastive learning; retain as core, with full-text coding still required.",https://doi.org/10.1016/j.ipm.2025.104206
KT069,2025,Wu et al.,A Cross-Domain Knowledge Tracing Model Based on Graph Optimal Transport,World Wide Web,10.1007/s11280-024-01311-1,POTENTIAL_CORE,GRAPH_KT,YES,Graph OT/cross-domain KT; may inform generalization.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT070,2025,Gao et al.,Denoising Programming Knowledge Tracing with a Code Graph-Based Tuning Adapter,KDD,10.1145/3690624.3709172,POTENTIAL_CORE,GRAPH_KT,YES,Code-graph KT; inspect denoising objective for SSL relevance.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT071,1994,Corbett & Anderson,Knowledge Tracing: Modeling the Acquisition of Procedural Knowledge,User Modeling and User-Adapted Interaction,10.1007/BF01099821,BACKGROUND,FOUNDATION,YES,Classical KT foundation; outside main search window.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: methodological/foundational work, not primary KT Graph/SSL evidence.",
KT072,2017,Kipf & Welling,Semi-Supervised Classification with Graph Convolutional Networks,ICLR,TBD_VERIFY,BACKGROUND,FOUNDATION,YES,GCN methodological foundation; not primary KT evidence.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: methodological/foundational work, not primary KT Graph/SSL evidence.",
KT073,2018,Veličković et al.,Graph Attention Networks,ICLR,TBD_VERIFY,BACKGROUND,FOUNDATION,YES,GAT methodological foundation; not primary KT evidence.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: methodological/foundational work, not primary KT Graph/SSL evidence.",
KT074,2017,Vaswani et al.,Attention Is All You Need,NeurIPS,TBD_VERIFY,BACKGROUND,FOUNDATION,YES,Transformer foundation; not primary KT evidence.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: methodological/foundational work, not primary KT Graph/SSL evidence.",
KT075,2019,Feng et al.,Hypergraph Neural Networks,AAAI,10.1609/aaai.v33i01.33013558,BACKGROUND,FOUNDATION,YES,HGNN foundation; not primary KT evidence.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: methodological/foundational work, not primary KT Graph/SSL evidence.",
